"Message","TimeSent"
"His PS4 was jailbroken","2024-06-21 01:53:25.463794"
"Background ambience was PS2+3+4 music it was wonderful","2024-06-21 01:53:52.125967"
"musuic","2024-06-21 01:53:57.397930"
"Joe Biden is a psychopath psychopaths mimicry people so from birth they copy and get what they want in response to what others with empathy get","2024-06-21 01:55:03.771981"
"Random chinese mailbomb lol","2024-06-21 01:55:30.458418"
"plz diff map","2024-06-21 01:56:00.074726"
"duff im drunk off homer simpsooons cock","2024-06-21 01:56:13.278346"
"How was sucking dick?","2024-06-21 01:56:27.060633"
"We kissed","2024-06-21 01:56:45.549878"
"Everything is being counted in the universe the amount of interactions is increasing","2024-06-21 01:57:23.711015"
"gg","2024-06-21 01:57:34.234262"
"you've said gg 10000s","2024-06-21 01:57:40.603841"
"100. god honest truth here","2024-06-21 01:58:37.944135"
"i see aliens shooting laser beams","2024-06-21 01:58:47.973626"
"tell me what to smoke and ill smoke it","2024-06-21 01:59:24.953191"
"i put toenails in the ward milk noooooooooooo","2024-06-21 01:59:54.119441"
"ReallyGoodComics","2024-06-21 02:00:13.177264"
"is he still on discord","2024-06-21 02:00:33.339702"
"RGC","2024-06-21 02:00:45.579592"
"go on twitter then search reallygoodcomics","2024-06-21 02:01:06.778183"
"i remember sam hyde liked his posts","2024-06-21 02:01:28.486132"
"Newengine","2024-06-21 02:01:36.451325"
"dammit this meth dopamergic neurotoxicity","2024-06-21 02:01:57.555815"
"i call upon the lord to increase my skill 1000 fold and repair damaged neurons","2024-06-21 02:03:18.990858"
"Hes pumping us with bullets","2024-06-21 02:04:09.821797"
"Jesus dropped a invisible boulder on my head","2024-06-21 02:05:37.044332"
"You should of heard him laughing it was so crazy he knew my thoughts","2024-06-21 02:06:08.221854"
"i want to go on GTA V and make traffic float away","2024-06-21 02:06:53.080555"
"Multiverse","2024-06-21 02:07:32.720405"
"Universal Mathmatics","2024-06-21 02:07:38.551760"
"Hyperspace","2024-06-21 02:07:42.762638"
"Superintelligence","2024-06-21 02:07:49.114229"
"number (universal)","2024-06-21 02:08:00.790832"
"Symbols -+ (Psychical)","2024-06-21 02:08:25.147204"
"Positions (measured and non measured)","2024-06-21 02:08:46.797565"
"Waves ( everywhere)","2024-06-21 02:08:56.837812"
"Multiplicities","2024-06-21 02:09:05.821960"
"Higher dimensional matter / sound waves","2024-06-21 02:09:21.224964"
"infinite arrays of spectrums of colours","2024-06-21 02:09:35.013072"
"Energy (indistructable)","2024-06-21 02:09:52.437373"
"I'm sorry for being einstein","2024-06-21 02:10:25.756136"
"bingus","2024-06-21 02:10:28.924222"
"skin bingus","2024-06-21 02:10:42.141170"
"in china","2024-06-21 02:10:45.324029"
"Sorry i forgot about the inconceivable manifestible heavens with 11th heavens beutiful ever conceived colours that never end fairys with new colours","2024-06-21 02:12:43.832971"
"Hi guys","2024-06-21 05:41:23.823538"
"i love you :3","2024-06-21 05:43:38.504063"
"weir wier weir","2024-06-21 05:45:41.197638"
"Love package on the way !","2024-06-21 05:48:43.832615"
"lol","2024-06-21 05:50:43.412880"
"i'm sorry :3","2024-06-21 05:50:57.667095"
"Who man","2024-06-21 05:53:29.277588"
"say something random","2024-06-21 05:54:46.500732"
"cheesecube","2024-06-21 05:54:59.243133"
"There are all dead","2024-06-21 05:56:23.795224"
"They are all dead","2024-06-21 05:56:30.119834"
"me :3","2024-06-21 05:57:02.922955"
"i dont know","2024-06-21 05:57:29.356550"
"This lobby needs more drugs","2024-06-21 05:59:15.051343"
"Noopept + coffee","2024-06-21 05:59:29.851694"
"i pressed button to make myself retarded :3","2024-06-21 06:00:27.457160"
"I love this game :3","2024-06-21 06:02:18.990898"
"Succubus","2024-06-21 06:04:31.905599"
"Hmmmm","2024-06-21 06:04:36.662353"
"Bird outside says your shit","2024-06-21 06:04:56.206229"
"it's the mother of god","2024-06-21 06:05:12.108639"
"we can hear this","2024-06-21 06:05:22.652228"
"birds are listening","2024-06-21 06:05:28.442498"
":3","2024-06-21 06:05:31.075221"
"3","2024-06-21 06:05:34.272216"
"the birds actually annoying as shit","2024-06-21 06:06:27.674444"
"depends on my state of mind","2024-06-21 06:06:47.279874"
"Crows used to make funny noises and have orgies","2024-06-21 06:07:08.438664"
"Good","2024-06-21 06:07:26.935832"
"We are okay alright yeah fine","2024-06-21 06:07:37.462004"
"is hate murder?","2024-06-21 06:08:17.076791"
"You could open team menu oin public then change teams","2024-06-21 06:08:52.505971"
"open source cod","2024-06-21 06:09:04.165087"
"i've only made 1 class","2024-06-21 06:09:31.623991"
"Yo you can actually speak","2024-06-21 06:10:28.736455"
"Thats amazing","2024-06-21 06:10:36.114708"
"Wait til i get paid","2024-06-21 06:10:55.686896"
"i don't want to say OMG","2024-06-21 06:12:21.228054"
"well guess who just didnt say it","2024-06-21 06:12:47.688327"
"Jesus's PS4 has PS2+3+4 music mixed combined","2024-06-21 06:13:28.396068"
"It's true","2024-06-21 06:13:48.529429"
"Bro i'm serious lol he has jailbroken i logged in online","2024-06-21 06:14:18.625231"
"and it had the gay internet and the gay library","2024-06-21 06:15:04.650013"
"square logos","2024-06-21 06:15:25.271650"
"Aliens are actually ugly as fuck","2024-06-21 06:16:09.065069"
"i can see them next the the ancient egyptions on the floor","2024-06-21 06:17:02.589952"
"They want to vaporize the pyramids","2024-06-21 06:17:23.211399"
"They may want to","2024-06-21 06:17:34.866036"
"Took some methamphetamine earlier never again","2024-06-21 06:17:53.880155"
"Meth wearing off","2024-06-21 06:18:30.836694"
"i got the idea to smoke it lol","2024-06-21 06:18:51.401083"
"Never again","2024-06-21 06:19:00.911896"
"Bird called me a faggot","2024-06-21 06:19:26.920569"
"they say weir weir weird","2024-06-21 06:20:03.900704"
"ohgamy","2024-06-21 06:20:12.380465"
"annoying","2024-06-21 06:20:17.115937"
"Brother ahhhhh","2024-06-21 06:20:26.109459"
"We won yessss","2024-06-21 06:21:35.431545"
"get in there","2024-06-21 06:21:38.075920"
"jk","2024-06-21 06:21:40.741729"
":3","2024-06-21 06:21:44.444791"
"i love you","2024-06-21 06:22:15.103005"
"as a being","2024-06-21 06:22:18.811215"
"0000 0000 0000 0000","2024-06-21 06:22:53.206198"
"55","2024-06-21 06:23:05.312736"
"i'll send you XMR","2024-06-21 06:23:29.082352"
"Dieeeeeeeeeee","2024-06-21 06:24:37.815317"
"no live :)","2024-06-21 06:24:45.202059"
"the birds stop when i'm genuine","2024-06-21 06:25:37.126819"
"i know you make noises","2024-06-21 06:26:02.578874"
"in response to this","2024-06-21 06:26:08.377333"
"but what is it that is wrong","2024-06-21 06:26:16.822803"
"Drugs makes me look very attractive like woah!","2024-06-21 06:26:56.385557"
"But this is toofar","2024-06-21 06:27:08.050974"
"Dexamphetamine","2024-06-21 06:27:20.799163"
"PURE GAMING CO XD xD :3","2024-06-21 06:29:33.384153"
"Pure gaming xD :3","2024-06-21 06:29:49.789540"
"sleep","2024-06-21 06:30:15.537416"
"Jesus i only function on drugs i wish you performed a miracle with me","2024-06-21 06:31:13.691508"
"I love you","2024-06-21 06:31:29.038237"
"<3","2024-06-21 06:31:35.885315"
"Accepted","2024-06-21 06:33:10.513072"
"Duality","2024-06-21 06:33:31.229787"
"Yay!","2024-06-21 06:34:19.790710"
"GG","2024-06-21 06:34:21.896087"
"Ramen hmmmm","2024-06-21 06:34:57.891787"
"diribonucleotides","2024-06-21 06:35:07.907450"
"mix with msg then it synergizes","2024-06-21 06:35:25.346336"
"2 umami flavours have synergy","2024-06-21 06:35:49.276510"
"Earlier i was doing better bro","2024-06-21 06:37:05.851552"
"More bots lmaof]","2024-06-21 06:37:15.360243"
"Hate is murder","2024-06-21 06:38:32.675598"
"Drugs are no doubt magical in there ability to make to look healthy","2024-06-21 06:39:21.884193"
"attractive","2024-06-21 06:39:41.976345"
"i'm exploding from the inside","2024-06-21 06:40:34.813908"
"Shin cup","2024-06-21 06:41:24.500448"
"Good one on you i'm so happy for you so is Uni :3","2024-06-21 06:42:33.374435"
"Where is it located?","2024-06-21 06:42:56.588198"
"Windows","2024-06-21 06:43:05.582133"
"i also love linux","2024-06-21 06:43:30.420416"
"installed windows","2024-06-21 06:43:47.856788"
"Peppermint OS linux","2024-06-21 06:44:29.673118"
"Bird said NO","2024-06-21 06:45:15.074185"
"STOP","2024-06-21 06:45:24.566222"
"but its so cute","2024-06-21 06:45:32.994927"
"i cant","2024-06-21 06:45:36.177285"
"Why is the devil a triangle head threatening to shoot my family","2024-06-21 06:47:48.251563"
"He's gone","2024-06-21 06:48:02.524083"
"Good","2024-06-21 06:48:08.305165"
"Matter is holographic","2024-06-21 06:48:49.980474"
"The brain is making this map into 3D imagery more than just the 2D layout pixels","2024-06-21 06:49:48.598866"
"Me pretending like i know shit","2024-06-21 06:50:09.750129"
"lol i like seeing fun happening","2024-06-21 06:51:15.849194"
"Jesus probably wants me to get a job","2024-06-21 06:53:16.386134"
"standing at the burger bun heater","2024-06-21 06:54:15.194993"
"i;ve never done that","2024-06-21 06:54:26.306644"
"i was looking","2024-06-21 06:56:03.219599"
"no weed","2024-06-21 06:56:31.739779"
"what","2024-06-21 06:57:15.143720"
"i've seen people teleport infront of me","2024-06-21 06:57:27.303910"
"i've seen magic not explainable by science","2024-06-21 06:57:46.839165"
"i've met God (Christ)","2024-06-21 06:57:59.488351"
"Like as we were walking they would teleport infront of me wtf","2024-06-21 06:58:18.014344"
"nogamy","2024-06-21 06:58:33.357276"
"birds","2024-06-21 06:58:37.562779"
"nogamy]","2024-06-21 06:58:40.195761"
"i found a tiny amount of particulate appears to be amphet","2024-06-21 06:59:13.517825"
"i got your shitty ammo supply","2024-06-21 06:59:56.858572"
"i wish i could pay succubus to join","2024-06-21 07:00:29.626395"
"XMR","2024-06-21 07:00:58.185646"
"Hmmmm XMR","2024-06-21 07:01:06.688802"
"Floating taking an ammo resupply","2024-06-21 07:02:04.783669"
"The birds can receive my thoughts through maybe higher dimensions","2024-06-21 07:02:36.483009"
"Crows are dark","2024-06-21 07:04:02.646760"
"Tried amnesia haze?","2024-06-21 07:05:18.359607"
"once a crow did a sound of that mimiced the one from the movies","2024-06-21 07:06:13.849126"
"We are victorious!","2024-06-21 07:07:42.322724"
"where do you work?","2024-06-21 07:09:53.928530"
"Mcdonalds","2024-06-21 07:10:02.422978"
"???","2024-06-21 07:10:06.640548"
"Why was there deek 666 in the ward i was in","2024-06-21 07:11:09.026250"
"I meet right along the map","2024-06-21 07:12:09.243010"
"i was sucking off my friend","2024-06-21 07:12:31.929663"
":D","2024-06-21 07:12:44.123317"
"i can still have these faces made out of matter infront of me change","2024-06-21 07:13:26.384266"
"How to make him cum?","2024-06-21 07:14:20.922442"
"Serotonin is going hey your not staying here","2024-06-21 07:15:10.064453"
"stature molecule","2024-06-21 07:15:30.193831"
"Hmmmm nicotine","2024-06-21 07:17:24.910870"
"Bots are really well trained","2024-06-21 07:17:55.112449"
"Anyone want to talk about the son of god?/","2024-06-21 07:18:36.420459"
"i identify as a being who knows and doesn't know at the same time","2024-06-21 07:19:09.233079"
"You've been accepted into our cult welcome now throw cats at the rocks","2024-06-21 07:20:04.697792"
":)","2024-06-21 07:20:21.143276"
"stay positive uplift more","2024-06-21 07:20:29.594013"
"LOL","2024-06-22 07:09:26.044115"
"chill bro","2024-06-22 07:10:09.373725"
"Floor speed and tiny crystals","2024-06-22 07:11:52.431353"
"GG","2024-06-22 07:12:18.811425"
"Hmmmm THC nibbles","2024-06-25 00:30:29.776478"
"When the 5G radio tower hit","2024-06-25 00:31:56.363998"
"boop","2024-06-25 02:49:36.644136"
"Why should i trust a crackhead?","2024-06-25 02:50:52.997790"
"Kneel on crackheads knecks","2024-06-25 02:52:58.352177"
"Reward $1000000","2024-06-25 02:53:10.485688"
"Do it to black people then mass kneeling on necks","2024-06-25 02:53:39.977601"
"Mass kneeling on knecks","2024-06-25 10:33:53.083102"
"GG","2024-06-25 10:35:04.545963"
"Put goldfish in the bloodtank","2024-06-25 10:35:53.945062"
"Love me","2024-07-05 18:12:24.992748"
"purge","2024-07-05 18:12:45.583342"
"bugs","2024-07-05 18:13:18.378448"
"Speznaz bugs","2024-07-05 18:13:27.878244"
"ahhaah","2024-07-05 18:13:51.649418"
"i identify as hacker","2024-07-05 18:14:41.298523"
"HAHAHA SWISS CHEESE STEVE","2024-07-05 18:15:20.916869"
"Noooooo","2024-07-05 18:16:37.126259"
"Don't cut the self","2024-07-05 18:16:56.669642"
"blood bro","2024-07-05 18:17:16.757043"
"gg","2024-07-05 18:17:26.521234"
"Funny name bro","2024-07-05 18:18:23.557194"
"Steve","2024-07-05 18:18:31.499263"
"Adam and stevge","2024-07-05 18:18:43.636517"
"Aliens are real bro","2024-07-05 18:20:33.141083"
"Probe you","2024-07-05 18:20:37.365724"
"kill the bugs","2024-07-05 18:22:14.110175"
"NOoooooooooo","2024-07-05 18:23:07.883687"
"WE DEAD","2024-07-05 18:23:16.360558"
"holy","2024-07-05 18:23:34.370236"
"ESP Lines","2024-07-05 18:23:47.037660"
"so funny","2024-07-05 18:24:17.755931"
"Depattern a success","2024-07-05 18:24:46.841065"
"LMAO","2024-07-05 18:25:56.060373"
"Floating aircraft","2024-07-05 18:26:09.260132"
"Making so much noise","2024-07-05 18:26:24.044779"
"xD","2024-07-05 18:26:39.946650"
"i indeed enjoy","2024-07-05 18:26:55.312423"
"Swiss cheese steve","2024-07-05 18:28:20.769076"
"ahaha nooo","2024-07-05 18:28:29.925220"
"do not pizza steve","2024-07-05 18:28:45.812054"
"Heaven bro","2024-07-05 18:29:21.220064"
"I went for intense bliss","2024-07-05 18:29:43.425024"
"NOOOOOOOOOOOOOO","2024-07-05 18:30:26.803814"
"AHAHHA","2024-07-05 18:30:29.459080"
"AHAHAHHA","2024-07-05 18:32:05.779054"
"ahahah swiss cheese steve","2024-07-05 18:32:13.720096"
"Supraposition","2024-07-05 18:33:44.300730"
"Wow!","2024-07-05 18:33:48.529983"
"Spider wave function","2024-07-05 18:34:12.392503"
"i sexually identify as hacker","2024-07-05 18:34:51.597922"
"Loch ness","2024-07-05 18:35:23.818563"
"ahahahaha","2024-07-05 18:35:28.059712"
"Noooooo","2024-07-05 18:35:39.185190"
"We are 2 but 1 but dead","2024-07-05 18:36:02.484844"
"He camper noobling","2024-07-05 18:36:43.799906"
"Lol the helicopter","2024-07-05 18:37:23.356694"
"it contains a player","2024-07-05 18:37:32.345579"
"Wisdom","2024-07-05 18:37:45.045620"
"it so funny it hurts","2024-07-05 18:38:14.776973"
"Use flash bang on the MW2 door lady","2024-07-05 18:38:58.744786"
"we dead","2024-07-05 18:39:26.279570"
"They are clearly way better than us Noo D:","2024-07-05 18:40:42.451816"
"Impending doom","2024-07-05 18:40:49.288759"
"We dead","2024-07-05 18:41:15.765297"
"In the clouds bro floating without care","2024-07-05 18:41:30.719469"
"--__--","2024-07-05 18:41:39.190174"
"put fish in blood","2024-07-05 18:42:28.330935"
":D","2024-07-05 18:43:26.003541"
"We are 1 G","2024-07-05 18:43:36.601454"
"1 gram of weight bro","2024-07-05 18:43:44.038454"
"Ahha noo","2024-07-05 18:45:26.290310"
"Don;t kill peace world peace","2024-07-05 18:45:47.966404"
"So funny","2024-07-05 18:46:17.582053"
"We moving","2024-07-05 18:47:17.047037"
"QUICKMESSAGE_MOVE_IN","2024-07-05 18:47:21.268843"
"Lol harrier","2024-07-05 18:47:29.715856"
"I sexual hacker","2024-07-05 18:49:01.088895"
"BTC Lmao","2024-07-05 18:50:00.815427"
"Bitcoins","2024-07-05 18:50:31.984847"
"xD","2024-07-05 18:50:37.249386"
"Fed buying all the bitcoins","2024-07-05 18:50:44.661248"
"Gold","2024-07-05 18:50:55.224366"
"Nooooooooo","2024-07-05 18:51:52.825149"
"noooooo","2024-07-05 18:51:56.516418"
"Friendly fire on fat mate","2024-07-05 18:52:22.945330"
"Fat cells swollen","2024-07-05 18:52:41.448982"
"ITS TOO FUNNY","2024-07-05 18:53:06.872872"
"We lose","2024-07-05 18:53:34.966896"
"gg","2024-07-05 18:53:59.803415"
"hanging g","2024-07-05 18:54:03.481220"
"nigga hanging","2024-07-05 18:54:12.004425"
"Steve","2024-07-05 18:54:28.348940"
"steve","2024-07-05 18:54:33.082341"
"i am sexually modder hacker","2024-07-05 18:55:17.471113"
"Steve","2024-07-05 18:55:36.507556"
"FMJ is funny","2024-07-05 18:56:13.512753"
"Pelt the floor with it","2024-07-05 18:56:25.146838"
"Cheesecube spicy cheese","2024-07-05 18:56:54.919131"
"Pick them off","2024-07-05 18:58:06.083054"
"The earth the bugs","2024-07-05 18:58:15.072547"
"Communist bug","2024-07-05 18:58:30.903937"
"in your walls","2024-07-05 18:58:40.941736"
"ahjah","2024-07-05 18:58:47.294112"
"It's the funniest thing on earth","2024-07-05 18:59:21.647587"
"QUICKMESSAGE_MOVE_IN","2024-07-05 18:59:49.162047"
"ANyone crawling about?","2024-07-05 19:00:22.442139"
":)","2024-07-05 19:00:42.195694"
":L","2024-07-05 19:00:45.352887"
"green 0s and red 1s","2024-07-05 19:01:04.380159"
"You are in superposition","2024-07-05 19:01:13.924828"
"AHAHALOLLNOOO","2024-07-05 19:01:43.503378"
"Kill the bugs","2024-07-05 19:02:12.093378"
"The bugs will win nooo end of world","2024-07-05 19:02:31.194931"
"Failure","2024-07-05 19:02:38.600424"
"it sounds so funny","2024-07-05 19:03:00.475798"
"ALOMAO","2024-07-05 19:03:23.695064"
"gg","2024-07-05 19:03:39.517440"
"we gunning along","2024-07-05 19:03:56.893614"
"steve","2024-07-05 19:04:13.750087"
"Swisscheesesteve","2024-07-05 19:04:42.743944"
"My diazepam","2024-07-05 19:05:18.138911"
"Yellow","2024-07-05 19:05:29.791935"
"weaklings","2024-07-05 19:05:35.074995"
"GABA molecules","2024-07-05 19:05:47.194575"
"Steals all of your gaba","2024-07-05 19:05:59.932305"
"whyyy","2024-07-05 19:06:07.327489"
"Hitler meth","2024-07-05 19:06:39.576859"
"Heisenberger","2024-07-05 19:06:49.587534"
"Jesse whiteman","2024-07-05 19:07:02.810336"
">__< headache no","2024-07-05 19:07:34.080161"
"Speed","2024-07-05 19:08:06.279124"
"Noo losing streak minus xp","2024-07-05 19:08:43.804271"
"That's so incredibily funny","2024-07-05 19:09:02.353936"
"Counter waves of UAV Wow!","2024-07-05 19:09:53.185480"
"Tell me the psychical truth","2024-07-05 19:10:34.993101"
"SPider","2024-07-05 19:10:42.390877"
"Im leaning left to right","2024-07-05 19:11:30.061960"
"tall","2024-07-05 19:12:05.548923"
"so tall","2024-07-05 19:12:08.709649"
"Twin towers lmaooo","2024-07-05 19:12:33.551848"
"Twin tower","2024-07-05 19:12:47.289748"
"it so funny","2024-07-05 19:12:57.418163"
"what's so funny","2024-07-05 19:13:44.471908"
"Every scent molecule","2024-07-05 19:14:07.221661"
"Dogs lmao","2024-07-05 19:14:16.329589"
"People are dogs","2024-07-05 19:14:27.455157"
"NO WHITE WOMAN","2024-07-05 19:14:41.707192"
"Everythingi s funny now","2024-07-05 19:15:14.075891"
"WE got them yay! dead","2024-07-05 19:15:46.341635"
"We indeed enjoying the events","2024-07-05 19:16:06.951412"
"Depressionbird","2024-07-05 19:16:28.174656"
"AHAHHA","2024-07-05 19:16:32.918902"
"Dog lead","2024-07-05 19:16:59.931693"
"Gay man noo lmao","2024-07-05 19:17:13.176099"
"NO HOMO Bro","2024-07-05 19:17:32.249425"
"bro","2024-07-05 19:17:35.433107"
"Suckling on dick","2024-07-05 19:17:50.762979"
"RECROYMEA","2024-07-05 19:18:27.759375"
"UAV","2024-07-05 19:18:35.673058"
"Stevecube","2024-07-05 19:18:42.010898"
"All while im still collecting coins lmao haahaha","2024-07-05 19:19:43.573710"
"Universe is acting funny","2024-07-05 19:20:11.132602"
"We know","2024-07-05 19:20:33.872177"
"Christ is so funny","2024-07-05 19:21:09.332158"
"so fucking unfunny it becomes funny","2024-07-05 19:22:37.617004"
"NMONO","2024-07-05 19:22:53.595820"
"He can see everythign its so funny","2024-07-05 19:23:18.426864"
"Counting bullets bro","2024-07-05 19:23:39.493427"
"God statistics","2024-07-05 19:23:47.971907"
"NOOO FUNNY FAMILY GUY RAPED BY BUG","2024-07-05 19:24:32.358088"
"its so funny","2024-07-05 19:24:53.671891"
"Universe is now funny","2024-07-05 19:25:04.770743"
"I Stole barret","2024-07-05 19:25:22.756772"
"intervention weed smoke bro","2024-07-05 19:25:41.261277"
"akimo acr xD","2024-07-05 19:26:05.050087"
"hey shouldnt exist","2024-07-05 19:26:16.417813"
"ahahaha","2024-07-05 19:26:23.278200"
"lungs","2024-07-05 19:26:34.942253"
"Lugs","2024-07-05 19:26:38.628526"
"60 in my lungs what do i owe","2024-07-05 19:26:56.099921"
"Nooo the money lol","2024-07-05 19:27:16.750897"
"Rob","2024-07-05 19:27:23.094530"
"Robbing nibba","2024-07-05 19:27:30.004922"
"power","2024-07-05 19:27:41.617253"
"Pussy power","2024-07-05 19:27:46.375138"
"Increases pussy strength","2024-07-05 19:28:00.080283"
"WOw","2024-07-05 19:28:31.804233"
"WE NUKE","2024-07-05 19:28:50.257542"
"NUKE IN ASS","2024-07-05 19:29:00.334608"
"nooo exploding","2024-07-05 19:29:17.820026"
"live laugh lvoe on wall","2024-07-05 19:29:56.893418"
"HELL YEAH","2024-07-05 19:30:03.772489"
"Believe in yourself replaced with sucicide poster","2024-07-05 19:30:21.756196"
"Blasphemy","2024-07-05 19:30:40.209006"
