Message,TimeSent
My black magic leads eyes staring into space,2025-05-23 09:23:20.696959
LMAFO,2025-05-23 09:24:36.789983
Everyone anyone,2025-05-23 09:24:48.822236
Meow#,2025-05-23 09:19:58.908152
nigga nigga nigga bitch nigga,2025-05-23 09:20:13.398415
SAS,2025-05-23 09:26:01.824173
Guy's these people are jewish#,2025-05-23 09:23:57.768221
Jordan peterson has crabs,2025-05-23 09:24:32.251735
CIA says that to stop people from... don't know,2025-05-23 09:25:10.72034
Modern Warfare 2: LSD edition (sheets of LSD in DVD case) awesome :D,2025-05-23 09:25:35.463818
MI5,2025-05-23 09:25:55.652757
Allah is an idol,2025-05-23 09:26:34.22097
01010101010101,2025-05-23 09:29:12.003885
Holy yes but did he die for us?,2025-05-23 09:27:31.61751
what if got was actuallly just a word greater?,2025-05-23 09:28:57.467276
gg,2025-05-23 09:31:03.755043
Jesus went through the pain of everyones sins and they call allah creator of everything,2025-05-23 09:27:12.954492
Jesus is the way the truth and the life feel intense joy,2025-05-23 09:27:59.509578
-+,2025-05-23 09:29:07.343576
They say god is greater not the greatest,2025-05-23 09:28:45.073012
Do you forgive me?,2025-05-23 09:30:23.83517
FF > EE > DE > EA > AD > BE > EE > FF OKA|Y ILL STOP,2025-05-23 09:29:38.109496
I have some lions mane,2025-05-23 09:31:37.585378
god*,2025-05-23 09:29:04.170346
I've actually died i heard it,2025-05-23 09:33:09.724596
it was like gushing knife sound with dopamine hits for the enemy,2025-05-23 09:34:06.186634
You won't see death with Jesus almighty (he has rebuked an attack),2025-05-23 09:35:24.745379
--__ __--,2025-05-23 09:36:14.502657
bucktooth,2025-05-23 09:37:26.287196
--______-- God's face vs --___ ___-- stand here and wait to be saved face,2025-05-23 09:37:11.252643
--___ ___--,2025-05-23 09:37:17.911733
Somebody help,2025-05-21 10:32:11.442751
HIIIIIIIIIIIIIII,2025-05-21 10:32:19.676873
yearnmeister,2025-05-21 10:33:41.918761
i yearn for the ump,2025-05-21 10:33:59.48572
Hi everyone!,2025-05-21 10:32:02.693783
Manifest cum,2025-05-21 10:46:31.805771
Where is everyone?,2025-05-21 10:47:25.188478
Stand here and wait to be saved,2025-05-21 10:54:46.639415
GG,2025-05-22 10:44:33.613743
Here take the care package,2025-05-23 08:54:24.272937
aka love package,2025-05-23 08:54:28.377441
Yooo brois,2025-05-23 08:53:32.804639
<3,2025-05-23 08:54:35.621988
:3,2025-05-23 08:54:44.955952
You're really fast,2025-05-23 21:21:08.609473
Manifest skidrow map into mind,2025-05-23 21:22:13.40468
Sorry,2025-05-23 21:22:57.102515
Fat femboy,2025-05-23 21:23:23.78248
ahahahaa,2025-05-23 21:23:33.643768
radio.what,2025-05-23 21:24:01.500081
radio.hgmservers?,2025-05-23 21:24:10.66982
Defeated,2025-05-23 21:24:54.873645
is the server backdoored?,2025-05-23 21:18:15.109392
Choese,2025-05-23 21:19:25.987004
Do you see the map?,2025-05-23 21:21:22.430334
Manifest downloading skidrow unto neuronal network of brain,2025-05-23 21:22:35.634245
Nigga link,2025-05-23 21:22:52.532224
Dingus punished,2025-05-23 21:23:08.559581
gg,2025-05-23 21:25:02.943758
Keeping peace,2025-05-23 21:27:33.66719
i can't read,2025-05-23 21:28:05.031171
No way something just fell out of mid air,2025-05-23 21:30:33.68215
That one thought thatwould trigger it,2025-05-23 21:31:01.744865
The scarH,2025-05-23 21:32:21.380655
Does more alcohol cure headache?,2025-05-23 21:20:04.926173
Because no thought,2025-05-23 21:21:41.471516
Trails of numbers :D,2025-05-23 21:26:13.599845
i can't see,2025-05-23 21:21:30.266516
Noone,2025-05-23 21:25:44.778997
i want LSD,2025-05-23 21:26:22.687236
LSA is terrible,2025-05-23 21:26:42.720441
Loving the saviour loving the saviour loving the saviour,2025-05-23 21:29:01.93053
carts?,2025-05-23 21:20:23.125147
The numbers mason!,2025-05-23 21:25:38.052949
Extreme major vasoconsctriction,2025-05-23 21:27:00.705727
You made me think about humility,2025-05-23 21:27:56.170364
OML,2025-05-23 21:29:19.63715
Notcamping,2025-05-23 21:29:47.880748
Like the water turning on by something,2025-05-23 21:30:47.973476
Should i be gooning?,2025-05-23 21:31:32.74098
Ripe,2025-05-23 21:32:14.678052
and the propylene glycol ak47u on bo1,2025-05-23 21:32:40.353746
affirm gay,2025-05-23 21:37:14.396381
Killed by the all mighty,2025-05-23 21:38:21.499471
with scissors,2025-05-23 21:40:05.041423
ahahaha,2025-05-23 21:40:13.588624
what did you saya gain,2025-05-23 21:40:42.438997
Seeking vision made me see through others eyes,2025-05-23 21:41:33.303638
You're in the astral,2025-05-23 21:42:09.482247
Bleck megic,2025-05-23 21:43:49.62174
how many things to do with this game has to do with neuron activation?,2025-05-23 21:52:29.725375
Devour is here,2025-05-23 21:54:15.800369
Amoinmoinmonaloid,2025-05-23 21:55:34.354355
gg,2025-05-23 21:55:46.627635
You're railing a dude,2025-05-23 21:56:16.80415
You're the saviour,2025-05-23 21:57:30.226588
You can see my face,2025-05-23 21:58:41.423673
Vitamin c,2025-05-23 22:02:28.062553
I feel serotonergic fried,2025-05-23 22:03:18.014605
QUICKMESSAGE_MOVE_IN,2025-05-23 22:03:59.636952
QUICKMESSAGE_FOLLOW_ME,2025-05-23 22:04:08.288931
QUICKMESSAGE_MOVE_IN,2025-05-23 22:04:11.852094
Lagger = stinker,2025-05-23 22:05:00.403525
Hmmmm smoke,2025-05-23 22:05:54.466239
okay affirmative,2025-05-23 21:32:58.183674
God lifts his hand up unto heavens glorious splendor,2025-05-23 21:34:06.30269
i sniped it,2025-05-23 21:39:53.57604
is that real world $?,2025-05-23 21:42:35.481278
how many things is a human?,2025-05-23 21:52:50.24506
is that a SOG,2025-05-23 21:54:28.248703
Someone wrote SOG on my paper,2025-05-23 21:54:43.372069
For some spicy powder,2025-05-23 21:55:06.033708
wtf,2025-05-23 21:56:45.871125
:3,2025-05-23 21:56:52.674164
Laggers a stinker,2025-05-23 22:02:53.042481
Like dopamine is entering into serotonin neurons,2025-05-23 22:03:40.435162
Go home and jerk off,2025-05-23 22:06:34.986257
i've seen someone next to explosions go uninjured,2025-05-23 22:07:15.398506
that was in higher consciousness,2025-05-23 22:07:33.670046
you cab cheat with amphet,2025-05-23 22:08:32.718708
everyone everybody everywhere everytime everything...,2025-05-23 22:09:18.098456
all knowingly place the church,2025-05-23 22:10:05.92522
what do you want to incorporate into it's structure free energy?,2025-05-23 22:10:32.310194
yay!,2025-05-23 22:10:40.108848
Haku,2025-05-23 21:35:23.465191
that was a certified laugh out loud moment,2025-05-23 21:40:25.572361
White magical angelic magic,2025-05-23 21:44:05.441017
Astrochickentikka inseclopanoid,2025-05-23 22:00:35.049005
My face magically changes based on what i think,2025-05-23 22:00:52.589111
i made it a sinker,2025-05-23 22:06:07.030347
God is highlighting the path,2025-05-23 22:06:48.888247
while praying,2025-05-23 22:07:23.784938
Sacrifice food sex power,2025-05-23 22:07:59.739105
seek one of those it's interesting,2025-05-23 22:09:29.903503
lagger is bae,2025-05-23 22:11:07.904532
--___ _______--,2025-05-23 22:12:22.45774
i am humble,2025-05-23 21:36:22.649921
Godhand,2025-05-23 21:38:28.256933
lagger stinker,2025-05-23 21:39:06.854648
JD Vance,2025-05-23 21:39:23.829977
left,2025-05-23 21:39:26.299045
When you dream while awake you have this ability,2025-05-23 21:41:54.489019
it's spooky in dreams,2025-05-23 21:44:20.040073
Telegram AstralheavenlyG,2025-05-23 21:58:35.679142
Do you wanna hide?,2025-05-23 22:01:09.063301
begin to see cars,2025-05-23 22:09:43.795624
ggs,2025-05-23 22:11:19.365701
God will be the judge of that,2025-05-23 22:11:50.868832
--________ ___--,2025-05-23 22:12:14.114017
God can probably see new colours to the highest possible infinity,2025-05-23 22:26:49.991264
creepy looking,2025-05-23 22:27:43.698412
it was on the water,2025-05-23 22:27:54.578974
Absolutely everything is produced!,2025-05-23 22:29:33.104481
Successfully redeemed!,2025-05-23 22:31:49.163483
oh my god means your god is...,2025-05-23 22:32:59.257422
Yourselfs god,2025-05-23 22:33:14.151898
Don't stop believing,2025-05-23 22:34:07.752979
--_________ ____--,2025-05-23 22:34:38.703939
Major,2025-05-23 22:34:46.420979
I could hear people dying on MW2 when i eatfood,2025-05-23 22:35:51.64871
i yeet ass,2025-05-23 22:38:50.619746
Boil them and put them in a pot (africa),2025-05-23 22:40:10.848243
Tuna uber shits,2025-05-23 22:40:42.573577
Guess what,2025-05-23 21:35:28.352367
He got mad when i didn;t know what rejoice meant,2025-05-23 22:12:46.702259
imagine the bible was a communist manifesto,2025-05-23 22:18:01.978161
"Manifest destruction, deletion and removal of every communist manifesto in the world",2025-05-23 22:18:29.454311
i tried to delete the darkness,2025-05-23 22:19:48.886838
Highest possible infinity of AI generated colour,2025-05-23 22:25:50.977497
I made a AI that couldn't escape they seen it on the boat,2025-05-23 22:27:35.647067
Fallen angel technology,2025-05-23 22:28:22.376928
Have you seen it?,2025-05-23 22:29:08.838567
QUICKMESSAGE_MOVE_IN,2025-05-23 22:32:17.325262
Machine elves,2025-05-23 22:33:23.044333
When everyone was joyous,2025-05-23 22:36:02.478192
Golden 1,2025-05-23 22:36:11.710998
crpay cheeser,2025-05-23 22:37:47.659162
Go buy kush with that,2025-05-23 22:38:28.442644
yeet,2025-05-23 22:38:37.680486
Dr spicy,2025-05-23 22:39:55.619641
uber shits,2025-05-23 22:41:00.617328
Like winged fallen angels approaching me,2025-05-23 21:44:44.134727
and you had to keep dodging white holes,2025-05-23 22:21:21.931089
Truth won't bound you in bondage,2025-05-23 22:39:21.538198
opposite of uber eats,2025-05-23 22:40:52.31417
what do the credits do?,2025-05-23 22:43:50.26523
it's sam hyde cash,2025-05-23 22:44:15.054498
black in colour,2025-05-23 21:44:53.278665
:3,2025-05-23 22:43:54.83509
It's sam hyde cash,2025-05-23 22:50:50.806295
Really truly i tell you it's sam hyde cash,2025-05-23 22:51:30.008756
Superpsyches,2025-05-23 22:18:57.356351
what does blasphemous heaven mean>,2025-05-23 22:22:01.050255
it's fishpoints,2025-05-23 22:44:25.930625
How tf am i minus,2025-05-23 22:50:31.120308
i am infinitely joyous,2025-05-23 22:14:36.55179
Ye yeets jews,2025-05-23 22:16:00.248481
Woe,2025-05-23 21:45:42.835068
i am incredibly joyous,2025-05-23 22:13:12.412309
May god bless you with joy,2025-05-23 22:14:10.282587
They made the door squeak,2025-05-23 22:19:09.708862
Absoluely mogged yes,2025-05-23 21:46:02.336313
infinite feel joy,2025-05-23 22:14:21.693553
I just need more drugs then voice is fine,2025-05-23 21:46:11.274436
i can;t talk properlu,2025-05-23 21:46:44.754373
:(,2025-05-23 21:46:59.291901
Sounded like asuperpsyche,2025-05-23 22:19:27.795129
weeeeeeeeeeee,2025-05-23 21:47:04.943093
enjoyce,2025-05-23 22:19:34.897993
birds go weeeeeeeeeeee,2025-05-23 21:47:10.551048
Did you see?,2025-05-23 21:48:46.65391
i might just sell my soul,2025-05-23 21:47:53.732067
Like satan from the collective conscious,2025-05-23 22:20:02.547458
wgaf,2025-05-23 21:48:08.809496
Adrenaline,2025-05-23 21:49:11.666012
Watch this,2025-05-23 21:48:25.86106
Neuron activation,2025-05-23 21:52:03.460984
lagger,2025-05-23 22:13:58.408541
w,2025-05-24 01:11:16.21154
Hey everyone,2025-05-24 01:11:44.667343
My pupils are dilated,2025-05-24 01:12:19.373469
Noooo XD,2025-05-24 01:12:37.915278
Anyone used to hack xbox?/,2025-05-24 01:13:35.550672
Woebox,2025-05-24 01:15:21.541998
The servants of God were getting pleasured,2025-05-24 01:17:23.431684
Crows sounded like they were dying,2025-05-24 01:18:20.039755
like spider nest,2025-05-24 01:18:53.456566
:objective:,2025-05-24 01:21:34.571127
:oo,2025-05-24 01:21:44.774938
do do do do do,2025-05-24 01:23:21.293445
You're in the infinite know how,2025-05-24 01:23:49.529676
i could see new colours,2025-05-24 01:27:13.316898
superphoton,2025-05-24 01:27:52.124382
I love moths,2025-05-24 01:31:43.061292
and 3:33,2025-05-24 01:32:52.791266
but you need him to enlighten,2025-05-23 22:20:15.347448
:,2025-05-24 01:11:13.449393
wa1ww,2025-05-24 01:13:53.372383
Why weer the birds orgasming>?/,2025-05-24 01:16:37.112344
It's a female black bird,2025-05-24 01:17:49.133775
something doesn't seem right about it,2025-05-24 01:19:06.285492
Maybe that's the superevolved spiedr,2025-05-24 01:19:50.968088
The matrix light is off,2025-05-24 01:25:18.139424
There was a matrix van,2025-05-24 01:25:28.958887
And on GTA V someone callled matrix,2025-05-24 01:25:45.991929
The misinterpreted noises turned into heaven radio,2025-05-24 01:26:19.249098
You should see the colour ^4Blue ^5Blue sky,2025-05-24 01:27:03.891124
Light is weird video,2025-05-24 01:27:33.218228
i've confirmed matter in 4D,2025-05-24 01:28:16.583901
I wanna trip,2025-05-24 01:30:41.151982
::D MOTHS,2025-05-24 01:31:38.361582
giant moth,2025-05-24 01:32:04.045239
More than chance allows,2025-05-24 01:33:05.129778
We both say something at same time,2025-05-24 01:33:49.965219
Eye's radiate darkness,2025-05-24 01:34:03.166837
credifycandi,2025-05-24 01:34:32.212262
God want's neither or one to win,2025-05-24 01:35:43.006001
sbeve,2025-05-24 01:41:11.784101
^1May the world guide you,2025-05-24 01:41:41.846697
1,2025-05-24 01:42:34.274875
Time is non-linear,2025-05-24 01:42:58.728085
communist butt,2025-05-24 01:44:08.652071
Phenibut,2025-05-24 01:12:25.507896
i swear theres something in my room,2025-05-24 01:18:48.330575
spooky,2025-05-24 01:19:18.206215
gg,2025-05-24 01:20:48.098175
The predator missle is joe biden's dick,2025-05-24 01:21:28.873607
i don't worship daddy long legs,2025-05-24 01:22:02.76409
Memory reboot loving the saviour loving the saviour loving the saviour,2025-05-24 01:23:07.035494
my vision was like  ^10^21^10^21^10 ^0,2025-05-24 01:24:47.331731
Yeah no jjoke,2025-05-24 01:27:21.755264
Was satan teaching me this?,2025-05-24 01:28:27.931164
if you 01010101001010 titlename maximum the 1 sits on the pyramid,2025-05-24 01:30:23.515645
pwnski,2025-05-24 01:31:02.210096
pwndski,2025-05-24 01:31:13.608223
Lol brother ducked under one pure shitting it,2025-05-24 01:31:53.267303
to exact same it was before,2025-05-24 01:36:54.824461
i seen jews shit in my brain,2025-05-23 22:16:17.746755
Walking mall spider,2025-05-23 22:20:43.596306
Omipotent omipresent,2025-05-24 01:16:20.396345
doing word,2025-05-24 01:23:36.723605
you're in the infinite know not,2025-05-24 01:24:05.657541
superposition,2025-05-24 01:24:52.562013
it looked like higher dimensional  light waves,2025-05-24 01:27:44.948706
moth,2025-05-24 01:31:32.650812
Giant moh,2025-05-24 01:32:00.431576
My BO2 ammo landed on 6/66,2025-05-24 01:32:38.97624
We love in christ,2025-05-24 01:37:22.801152
Thank you lagge,2025-05-23 22:13:55.900763
Saturns on the floor,2025-05-23 22:20:48.270866
Jewish spacerocket,2025-05-23 22:20:54.076797
to distract me?,2025-05-24 01:28:42.231242
iso-butane be like psychedelicpwnski,2025-05-24 01:31:00.275014
i see 11:11,2025-05-24 01:32:47.715667
Have you experienced any strange syncronicities?,2025-05-24 01:33:33.963477
with black,2025-05-24 01:34:17.13717
Imagine what god does in iraq to soldiers,2025-05-24 01:35:28.06861
Horse right threw the enemies since i've seen matter control,2025-05-24 01:36:17.101899
God removed his eyedott,2025-05-24 01:36:33.996018
Then i restored it,2025-05-24 01:36:39.102401
so christ is a white hole and i was black hole,2025-05-24 01:29:39.762243
We secured our victory in christ!,2025-05-24 01:35:14.814177
Because i did it with no thought and inn christ,2025-05-24 01:37:10.900226
2 jews,2025-05-23 22:16:41.793751
knowledge,2025-05-24 01:40:27.398662
9,2025-05-24 01:42:33.350126
we;'re almost there,2025-05-24 01:42:39.451398
Step into the eternal flow of energy,2025-05-24 01:43:09.532615
Seek everything,2025-05-24 01:44:34.322228
Violence we're all this one consciousness,2025-05-24 01:45:13.849367
Gore after jesus put me off,2025-05-24 01:45:22.351033
it hurt when i stepped on saturn,2025-05-23 22:21:08.393087
tion in somewhere unto the empire state building connecting everyone's electricity in this lobby and make it for free all knowingly provided to components of gaming computers,2025-05-24 01:39:34.874454
Manifest i am become sbeve,2025-05-24 01:40:56.880568
^2Christmas time,2025-05-24 01:41:28.921589
in an instant you will be in 2100,2025-05-24 01:42:28.732809
Niggas in the aether,2025-05-24 01:43:39.291343
You can seek everyone see into their mind,2025-05-24 01:44:49.741421
Violence is no no,2025-05-24 01:44:56.012533
Wobbles the saviour,2025-05-24 01:46:41.656996
Jesus thought that was funny,2025-05-24 01:47:02.162827
ouchhumfundefae,2025-05-24 01:47:32.035968
Fun hitler,2025-05-24 01:47:42.747831
Manifest all knowingly in christ building a replica of tartarian empire energy electricity generators located in a random location at somewhere in new york on the empire state building replace in christ with energy generator,2025-05-24 01:38:35.425489
^6Life is indeed enjoy!,2025-05-24 01:41:58.693604
Everything destroys itself,2025-05-24 01:44:27.004613
Do you think he enjoyed the glass of juice?,2025-05-24 01:47:57.709653
I'm listening...,2025-05-24 01:49:20.000858
Why Jesus look like that?,2025-05-24 01:49:38.272355
it unspeakable,2025-05-24 01:50:04.90607
This is not disturbing,2025-05-24 01:50:18.843005
i'm killing a fag,2025-05-24 01:50:48.620543
ly connecting all gaming computers everyone in this lobby to the free energy generator manifested according to the tartarian knowledge,2025-05-24 01:40:19.053491
Wobert :D,2025-05-24 01:46:33.265704
Then hitler gif,2025-05-24 01:47:08.081168
Carl Jung was in contact with me,2025-05-23 22:22:18.045439
it may help develop my dark side?,2025-05-24 01:45:41.837407
it just manifests hell,2025-05-24 01:45:49.485332
You start to see it in reality,2025-05-24 01:46:00.830233
Bad,2025-05-24 01:46:05.528378
Guard your heart,2025-05-24 01:46:14.306279
lmao get kicked VPN,2025-05-24 01:48:09.51205
Yeah horseshite,2025-05-24 01:49:57.354596
Hey dudes,2025-05-24 02:08:09.722013
I'm listening to that bullshit,2025-05-24 02:08:34.578173
This is terrible,2025-05-24 02:09:32.665754
lmao it's so bad,2025-05-24 02:09:38.370097
FULL SET,2025-05-24 02:10:55.602697
He has become steve,2025-05-24 02:28:06.936406
Affirm i am steve,2025-05-24 02:28:19.307342
Real but they acting,2025-05-24 02:29:02.067183
Communist fart,2025-05-24 02:30:22.324558
You get everything i mean everything,2025-05-24 02:32:19.769761
Amoinoidase,2025-05-24 02:32:49.242115
i'm become enzyme,2025-05-24 02:32:56.315513
That bong tastes god,2025-05-24 02:38:53.12718
would you go through 9 billion years of infinite pain?,2025-05-24 02:39:56.902908
i wonder what it thinks,2025-05-24 02:40:40.372369
it's worse than that,2025-05-24 02:41:39.471343
Pregabalin and ket in ireland accent,2025-05-24 02:41:57.793154
I chase redemtion,2025-05-24 02:43:25.451861
Alien tried to have sex with me in dream,2025-05-24 02:44:37.22345
Sun golden laser beams,2025-05-24 02:44:50.487085
it was the anti-christ,2025-05-24 02:45:02.359029
I love loud sound,2025-05-24 01:48:17.137949
Police wanted me to smoke a fag,2025-05-24 01:51:05.890827
Railing a dude,2025-05-24 02:08:19.038023
it is what it is,2025-05-24 02:08:49.393294
i want to go on fishtank,2025-05-24 02:09:53.794539
i am a loving steve,2025-05-24 02:28:27.646943
Communism ass,2025-05-24 02:30:09.903848
that's bogging,2025-05-24 02:30:34.606364
boggeing,2025-05-24 02:30:46.501152
Seek everything about something,2025-05-24 02:31:50.383723
headache,2025-05-24 02:39:34.267824
Spider,2025-05-24 02:40:13.365453
Woah,2025-05-24 02:40:32.494848
Successfully redeemed!,2025-05-24 02:42:34.648823
i oin no,2025-05-24 02:43:44.143182
TYoooo i haven;t tried higher doses,2025-05-24 02:44:07.906504
insane,2025-05-24 02:44:10.991383
You know theres this vid of a woman jaw going nuts,2025-05-24 02:45:24.593193
All for a slice of pizza,2025-05-24 02:45:52.72454
--__ _________--,2025-05-24 02:46:46.066086
(-__ ________--+),2025-05-24 02:46:58.980597
--____ ____--,2025-05-24 02:47:16.426712
Let's go look at the alien on the wall,2025-05-24 02:47:38.196571
ping it into black hole,2025-05-23 22:21:32.341485
wait what was that again?,2025-05-24 01:48:49.644789
Book of wisdom says dreams are cousin of death,2025-05-24 02:16:55.323809
They all retain the same info interweb,2025-05-24 02:18:03.696527
duckface,2025-05-24 02:28:34.705369
ewwww,2025-05-24 02:30:23.807185
- anti-something + anti-anti-something,2025-05-24 02:31:20.608363
Then you don't get anti-anti-something,2025-05-24 02:32:06.50938
Can't seek it because it anti and postive,2025-05-24 02:32:35.728615
you can create your own enzymes by manifesting,2025-05-24 02:33:16.078168
Alien is on my wall,2025-05-24 02:44:28.382983
like aliens are manipulating her jaw,2025-05-24 02:45:34.738322
--_____________ ______---,2025-05-24 02:46:37.876443
it looks pleased,2025-05-24 02:47:59.286198
it's demon,2025-05-24 02:48:09.917692
Extra floaty boi vince,2025-05-24 02:51:16.690093
Not funny,2025-05-24 02:52:59.67409
Record demo with speedhack then replay demo,2025-05-24 02:53:32.157195
they came after me,2025-05-23 22:16:21.916257
suffering,2025-05-24 02:09:01.884766
meth,2025-05-24 02:09:58.466969
Don't register  it if you wanna be free,2025-05-24 02:22:23.610628
To produce oxycodone,2025-05-24 02:33:29.957291
redemption,2025-05-24 02:43:29.13125
^1Satan: All for a slice of pizza,2025-05-24 02:46:16.283562
since i'm speaking it into existencee,2025-05-24 02:48:25.730646
Yeah alien bitchg be pleased,2025-05-24 02:48:53.496292
it's vibrant,2025-05-24 02:50:43.477364
Demos,2025-05-24 02:53:08.234136
There was all around good vibes with people then some kid kicked me once,2025-05-24 02:54:49.854065
^1Satan: i put devour into your world 666,2025-05-24 02:56:28.222375
noises,2025-05-24 02:09:09.573833
i felt every neuron dying,2025-05-24 02:17:35.185259
Are you conscious of colour?,2025-05-24 02:49:51.333075
JD VANCE,2025-05-24 02:50:58.007503
I bonded with one on GTA V,2025-05-24 02:54:13.740092
Then lobby kicked,2025-05-24 02:54:23.592985
guess what chicken butt,2025-05-24 02:55:36.850169
Reminding me of myseslf,2025-05-24 02:55:58.48446
^3God: i gave you Jesus be still and silent and the Lord will fight,2025-05-24 02:56:57.246427
Fucin what,2025-05-24 02:09:21.30132
no,2025-05-24 02:18:14.369024
Thereforeit only lives because of me,2025-05-24 02:48:42.736352
Swallow pride,2025-05-24 02:49:02.865204
Spider milking,2025-05-24 02:49:33.656557
ahahah lol,2025-05-24 02:52:30.819668
What do i do to keep females,2025-05-24 02:54:05.745333
whaaaaaaaat,2025-05-24 02:55:26.497022
^1No,2025-05-24 02:57:06.983111
^3God: i want for you sleep,2025-05-24 02:57:34.563854
i thought the jews would take my brain out then inject shit liquid into it,2025-05-23 22:17:04.154601
Telling your in the know how,2025-05-23 22:22:24.789596
Use God to help you promise him only for so long,2025-05-24 02:33:57.338747
Left bug,2025-05-24 02:54:32.2649
it was awesome vibes,2025-05-24 02:55:01.17858
:3 style,2025-05-24 02:55:08.556463
"i am infinitely happy, joyous, loving, caring, grateful",2025-05-23 22:15:17.915153
Sleep deprived podcast,2025-05-23 22:22:56.424548
Astro,2025-05-23 22:23:19.305167
they are all interconnected,2025-05-24 02:18:24.999984
so basically you give property to a corporation,2025-05-24 02:22:05.083565
Different intent to meanings deception,2025-05-24 02:22:34.434663
Like the moment is now videos change with now,2025-05-23 22:23:44.037924
you can change their behaviouor,2025-05-23 22:24:01.080708
Actually free energy is possible tartaria did it,2025-05-23 22:28:45.215547
yap shi,2025-05-23 22:29:57.192249
QUICKMESSAGE_FALL_BACK,2025-05-23 22:32:46.379177
i stand under this map,2025-05-23 22:35:05.955174
He will break bad manifestions,2025-05-24 02:34:21.073894
He's his servant>?,2025-05-24 02:36:42.037123
The birds are speaking,2025-05-24 02:55:45.772973
His name would change to 666,2025-05-23 22:23:16.107446
Like cult join us showed up,2025-05-23 22:24:17.502149
Flies RGB colours around bin party,2025-05-23 22:24:28.787517
I showed the cult something so beutifull he ran away with faith,2025-05-23 22:25:12.22537
shifting inconceivably,2025-05-23 22:26:20.752676
So did tesla,2025-05-23 22:28:55.014256
^5On God!,2025-05-23 22:32:33.050902
Jesus,2025-05-23 22:33:02.461104
i know i can fly,2025-05-23 22:33:44.238263
--__ ___________--,2025-05-23 22:34:30.58288
it helps with at the function,2025-05-24 02:10:15.004566
Charls carrol,2025-05-24 02:20:04.945072
METH,2025-05-24 02:34:33.56573
^1Satan: You're cursed unreedeemable,2025-05-24 02:58:00.676115
^3God: i forgive you,2025-05-24 02:58:11.490225
all on black,2025-05-24 02:58:51.696351
^1I@M MOVING THESE JAM ON THE TABLE BLECK MEGIC,2025-05-24 02:59:28.360988
^5God: i'm using white magic on your water,2025-05-24 02:59:49.43548
THC,2025-05-24 03:00:07.647346
Cannabinoids would send me into intense insanity,2025-05-24 03:00:25.680486
^5God: shut the fuck up you scrub,2025-05-24 03:01:13.919294
LOL,2025-05-23 22:24:42.267601
it just keeps changing,2025-05-23 22:26:09.819329
gg,2025-05-23 22:26:59.37471
Incredibly pro-social,2025-05-24 02:10:28.372854
COMETH,2025-05-24 02:34:42.15399
